District,Total_TEI,Project_Number,Current_Expenditure
ALBERT PARK ,0,0,0
ASHWOOD ,0,0,0
BASS ,0,0,0
BAYSWATER ,128449000,1,123049000
BELLARINE ,365000000,1,274278640
BENAMBRA ,0,0,0
BENDIGO EAST ,0,0,0
BENDIGO WEST ,0,0,0
BENTLEIGH ,0,0,0
BERWICK ,0,0,0
BOX HILL ,2371617970,1,672251070
BRIGHTON ,0,0,0
BROADMEADOWS ,0,0,0
BRUNSWICK ,0,0,0
BULLEEN ,0,0,0
BUNDOORA ,14034000000,1,2419097000
CARRUM ,0,0,0
CAULFIELD ,236682594,1,130673570
CLARINDA ,0,0,0
CRANBOURNE ,0,0,0
CROYDON ,0,0,0
DANDENONG ,275715000,1,191004299
EILDON ,0,0,0
ELTHAM ,0,0,0
ESSENDON ,0,0,0
EUREKA ,0,0,0
EUROA ,0,0,0
EVELYN ,0,0,0
FOOTSCRAY ,1998605000,1,1002178000
FRANKSTON ,1483584000,2,276153000
GEELONG ,1201224000,4,380933000
GIPPSLAND EAST ,0,0,0
GIPPSLAND SOUTH ,0,0,0
GLEN WAVERLEY ,0,0,0
GREENVALE ,0,0,0
HASTINGS ,0,0,0
HAWTHORN ,0,0,0
IVANHOE ,0,0,0
KALKALLO ,0,0,0
KEW ,0,0,0
KOROROIT ,0,0,0
LARA ,0,0,0
LAVERTON ,0,0,0
LOWAN ,0,0,0
MACEDON ,0,0,0
MALVERN ,0,0,0
MELBOURNE ,17676087805,7,11053807877
MELTON ,1591000000,2,37840000
MILDURA ,0,0,0
MILL PARK ,0,0,0
MONBULK ,0,0,0
MORDIALLOC ,0,0,0
MORNINGTON ,0,0,0
MORWELL ,223500000,1,137061400
MULGRAVE ,0,0,0
MURRAY PLAINS ,0,0,0
NARRACAN ,0,0,0
NARRE WARREN NORTH ,0,0,0
NARRE WARREN SOUTH ,0,0,0
NEPEAN ,0,0,0
NIDDRIE ,0,0,0
NORTHCOTE ,462457000,1,70575500
OAKLEIGH ,0,0,0
OVENS VALLEY ,0,0,0
PAKENHAM ,0,0,0
PASCOE VALE ,0,0,0
POINT COOK ,0,0,0
POLWARTH ,255000000,1,107769990
PRAHRAN ,0,0,0
PRESTON ,0,0,0
RICHMOND ,0,0,0
RINGWOOD ,0,0,0
RIPON ,115000000,1,10810000
ROWVILLE ,0,0,0
SANDRINGHAM ,0,0,0
SHEPPARTON ,229349000,1,224743600
SOUTH BARWON ,0,0,0
SOUTH-WEST COAST ,384200000,1,34000000
ST ALBANS ,0,0,0
SUNBURY ,1788795000,1,968275000
SYDENHAM ,0,0,0
TARNEIT ,124000000,1,0
THOMASTOWN ,0,0,0
WARRANDYTE ,0,0,0
WENDOUREE ,595788000,1,62212200
WERRIBEE ,507528000,2,64770000
WILLIAMSTOWN ,10154091683,1,7990025966
YAN YEAN ,0,0,0
