Budget_Year,Project_type,Project_name,TEI,BP4_Agency,Completion_date,Completion_date_string,Earliest_budget_year,Est_completion_date,Est_exp_to_date,Estimated_completion_date,EstimatedCompletionDM,EstimatedCompletionYear,Fixed_notes,Footnotes,Project_location,Regional,State_Electorate,Remaining_exp,Sector,Start_date
2019-20,Existing,Ballarat Health Services expansion and redevelopment,461600000,Department of Health and Human Services,,Jun-26,2018-19,qtr 4 2025‑26,800000,6/30/2026 12:00:00 AM,30-Jun,26,,,Ballarat,Regional,WENDOUREE,460800000,Health and human services,6/01/2018
2023-24,Existing,Ballarat Health Services expansion and redevelopment and the new Central Energy Plant,595788000,Department of Health,,Dec-28,2021-22,qtr 2 2028-29,62212200,12/31/2028 12:00:00 AM,31-Dec,28,The TEI has increased by $54.188 million due to a revised project scope to include a helipad and a 400-space car park.,The TEI has increased by $54.188 million due to a revised project scope to include a helipad and a 400-space car park.,Ballarat,Regional,WENDOUREE,533575800,Health and human services,6/01/2021
2016-17,New,Ballarat Line Upgrade,516724000,Victorian Rail Track (VicTrack),1/01/2021,Jun-20,2016-17,qtr 4 2019‑20,0,6/30/2020 12:00:00 AM,30-Jun,20,,"TEI has increased by $93.000 million due to scope variations and market conditions, and decreased by $6.893 million due to savings. TEI includes $503.000 million of Commonwealth funding.",Regional,Regional,WENDOUREE,516724000,Transport,6/01/2016
2019-20,Existing,Ballarat Line Upgrade,545014000,Victorian Rail Track (VicTrack),,Jun-20,2016-17,qtr 4 2019‑20,370472000,6/30/2020 12:00:00 AM,30-Jun,20,"TEI includes $467.000 million of Commonwealth funding, and excludes $4.441 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.","TEI has increased by $93.000 million due to scope variations and market conditions, and decreased by $6.893 million due to savings. TEI includes $503.000 million of Commonwealth funding.",Regional,Regional,WENDOUREE,174542000,Transport,6/01/2016
2023-24,Existing,Barwon Heads Road upgrade,365000000,Department of Transport and Planning,7/01/2023,Dec-23,2019-20,qtr 2 2023-24,274278640,12/31/2023 12:00:00 AM,31-Dec,23,The TEI includes $292.000 million of Commonwealth Government funding.,The TEI includes $292.000 million of Commonwealth Government funding.,Barwon Heads,Regional,BELLARINE,90721360,Transport,6/01/2019
2019-20,New,Barwon Heads Road upgrade,318300000,Department of Transport,,,2019-20,tbc,0,,,,,The TEI includes $292.000 million of Commonwealth Government funding.,Barwon Heads,Regional,BELLARINE,318300000,Transport,6/01/2019
2023-24,Existing,Barwon Women's and Children's Hospital,512500000,Department of Health,,Dec-29,2022-23,qtr 2 2029-30,8960000,12/31/2029 12:00:00 AM,31-Dec,29,The estimated completion date was previously ‘tbc' and has now been disclosed following further project development. The TEI and remaining expenditure will be confirmed following the completion of the tender process. The TEI includes $50.000 million of Commonwealth Government funding under the Community Health and Hospitals Program agreement.,The estimated completion date was previously ‘tbc' and has now been disclosed following further project development. The TEI and remaining expenditure will be confirmed following the completion of the tender process. The TEI includes $50.000 million of Commonwealth Government funding under the Community Health and Hospitals Program agreement.,Geelong,Regional,GEELONG,0,Health and human services,6/01/2022
2016-17,Existing,Bendigo Hospital - Redevelopment,129460000,Department of Health and Human Services,6/01/2018,Dec-16,2015-16,qtr 2 2016‑17,97386000,12/31/2016 12:00:00 AM,31-Dec,16,,,Bendigo,Regional,BENDIGO WEST,32074000,Health and human services,6/01/2015
2019-20,New,Bendigo Law Courts Redevelopment,152396000,Court Services Victoria,,Sep-22,2019-20,qtr 1 2022‑23,0,9/30/2022 12:00:00 AM,30-Sep,22,,,Bendigo,Regional,BENDIGO WEST,152396000,Justice and emergency services,6/01/2019
2016-17,Existing,Box Hill Hospital - Redevelopment,447500000,Department of Health and Human Services,7/01/2016,Jun-17,2015-16,qtr 4 2016‑17,429891000,6/30/2017 12:00:00 AM,30-Jun,17,The project completion date has been revised to reflect the separate ICT component of the project.,The project completion date has been revised to reflect the separate ICT component of the project.,Box Hill,Metropolitan,BOX HILL,17609000,Health and human services,6/01/2015
