Year,Proportion,Sector
2016-17,11.16,All
2016-17,0,"Culture, sport and community"
2016-17,23.59,Health and human Services
2016-17,0,Justice and emergency services
2016-17,10.33,Transport
2019-20,12.5,All
2019-20,61.9,"Culture, sport and community"
2019-20,20.17,Health and human Services
2019-20,100,Justice and emergency services
2019-20,9.44,Transport
2023-24,5.98,All
2023-24,28.8,"Culture, sport and community"
2023-24,22.21,Health and human Services
2023-24,0,Justice and emergency services
2023-24,1.4,Transport
